venue_name,match_id,match_home_team,match_away_team,match_date,match_local_time,match_attendance,match_round,match_home_team_goals,match_home_team_behinds,match_home_team_score,match_away_team_goals,match_away_team_behinds,match_away_team_score,match_margin,match_winner,match_weather_temp_c,player_id,player_first_name,player_last_name,player_team,kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,player_position,player_name,position_group,won_match,round_number,weather_MOSTLY_SUNNY,weather_OVERCAST,weather_RAIN,weather_SUNNY,weather_THUNDERSTORMS,weather_WINDY,is_home,match_closeness,team_score,opponent_score
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,13035,Bailey,Laurie,Melbourne,3,1,5,8,5,63,0,0,0,1,1,3,0,1,0,0,0,2,6,0,0,0,0,0,42,26,0,0,1,77,2,0,0,0,0,0,0,3,0,0,2,0,0.0,0,0,8,-0.1,0,0,0,0,FPR,Bailey Laurie,FWD,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,13036,Judd,McVee,Melbourne,14,6,6,20,16,80,0,0,0,0,9,1,3,2,1,0,0,8,11,0,0,2,0,1,78,73,0,3,3,390,4,4,0,1,1,0,0,1,12,0,7,0,0.0,0,0,1,12.3,0,1,0,1,HBFL,Judd McVee,DEF,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,13048,Jacob,van Rooyen,Melbourne,3,2,7,10,9,90,1,0,0,3,0,1,0,2,1,1,0,2,7,0,0,1,0,0,83,45,0,0,1,110,2,1,2,0,0,1,1,0,3,1,1,0,0.0,0,0,6,2.3,2,0,1,1,HFFR,Jacob van Rooyen,FWD,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,13098,Blake,Howes,Melbourne,9,7,8,17,14,82,0,0,0,3,5,1,0,3,1,1,0,9,9,0,0,4,0,0,74,74,0,0,0,224,4,12,0,0,4,0,0,11,7,0,7,0,0.0,3,0,12,13.7,0,0,0,3,INT,Blake Howes,MID,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,13099,Caleb,Windsor,Melbourne,6,0,7,13,8,62,0,0,0,4,0,0,1,2,0,1,0,6,8,0,0,2,0,1,81,45,1,0,4,117,1,3,0,0,0,0,0,12,4,0,6,0,0.0,0,0,20,7.3,0,2,0,1,WR,Caleb Windsor,MID,0,0,0,0,1,0,0,0,0,22,64,86
Gabba,16587,Brisbane Lions,Carlton,2024-03-08,18:40:00,0,Opening Round,12,13,85,13,8,86,1,Carlton,29,11901,Ryan,Lester,Brisbane Lions,12,6,3,15,12,80,0,0,0,2,3,1,1,3,0,0,0,4,9,0,0,2,0,0,87,68,0,1,2,255,2,6,0,0,2,0,0,2,10,0,4,0,0.0,2,0,4,8.0,0,2,0,2,BPR,Ryan Lester,DEF,0,0,0,0,1,0,0,0,1,1,85,86
Gabba,16587,Brisbane Lions,Carlton,2024-03-08,18:40:00,0,Opening Round,12,13,85,13,8,86,1,Carlton,29,12061,Lachie,Neale,Brisbane Lions,9,2,16,25,19,76,0,0,0,2,0,5,5,1,2,0,0,13,12,0,0,0,0,1,79,75,2,3,6,211,2,5,0,0,0,0,0,6,7,0,12,0,0.0,0,0,17,13.8,0,3,0,0,R,Lachie Neale,MID,0,0,0,0,1,0,0,0,1,1,85,86
Gabba,16587,Brisbane Lions,Carlton,2024-03-08,18:40:00,0,Opening Round,12,13,85,13,8,86,1,Carlton,29,12073,Jarryd,Lyons,Brisbane Lions,10,5,9,19,15,79,0,0,0,9,0,2,1,3,1,2,0,7,11,0,0,0,0,1,70,94,1,0,6,258,2,2,0,0,0,1,0,12,10,0,6,0,0.0,0,1,23,7.1,0,1,0,0,INT,Jarryd Lyons,MID,0,0,0,0,1,0,0,0,1,1,85,86
Gabba,16587,Brisbane Lions,Carlton,2024-03-08,18:40:00,0,Opening Round,12,13,85,13,8,86,1,Carlton,29,12082,Dayne,Zorko,Brisbane Lions,12,7,7,19,16,84,2,0,0,6,1,3,0,3,1,1,0,5,13,0,1,0,0,1,76,105,0,0,7,292,2,3,1,0,0,0,0,10,9,1,5,0,0.0,0,0,20,15.6,0,1,2,0,FPR,Dayne Zorko,FWD,0,0,0,0,1,0,0,0,1,1,85,86
Gabba,16587,Brisbane Lions,Carlton,2024-03-08,18:40:00,0,Opening Round,12,13,85,13,8,86,1,Carlton,29,12094,Lincoln,McCarthy,Brisbane Lions,10,6,3,13,7,54,2,3,0,2,1,2,1,3,1,2,0,4,9,1,3,1,0,0,81,72,0,1,10,300,2,0,1,0,0,1,0,3,6,0,2,0,0.0,0,2,15,7.2,0,0,5,1,INT,Lincoln McCarthy,MID,0,0,0,0,1,0,0,0,1,1,85,86
